,Unnamed: 0,Unnamed: 0.1,country,target,model,params,f1,accuracy,precision,recall,roc_auc
58,58.0,10.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.2929509654731052,0.7397173709769855,0.3537996357297659,0.2512012987012986,0.6355684894228338
59,59.0,11.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.3278679770217818,0.7292537628570567,0.353740901652801,0.3073701298701299,0.6490647599242683
60,60.0,12.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.403170810805763,0.6295750007540796,0.3089075925492881,0.5844155844155845,0.6560274854455889
61,61.0,13.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3971999707092911,0.6369302928845053,0.3097627782978603,0.5570454545454545,0.6658449788944412
62,62.0,14.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3671889734770922,0.7001493077549543,0.3356368685078363,0.4066558441558442,0.6493884265273818
63,63.0,15.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.3953022608729393,0.7059602449250445,0.3559007530064889,0.4483116883116883,0.6642842677124856
64,64.0,16.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.3397639710461996,0.7630078725907158,0.4250677426748417,0.2856493506493506,0.6465824956879924
65,65.0,17.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.3430664569090165,0.7451437275661328,0.3856182252173684,0.3110714285714285,0.6470226252920858
66,66.0,18.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.4043231783412666,0.6423868126564716,0.3150616309932267,0.5660064935064935,0.6550223747744234
67,67.0,19.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.4092497187447572,0.6373088408288844,0.3168429353238694,0.5841883116883116,0.6647531514235168
68,68.0,20.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3739543895419394,0.7075287304316351,0.3468114355787609,0.4085714285714285,0.6572684402060895
69,69.0,21.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.3944367283639579,0.7055862214580882,0.3543980502400424,0.4466233766233766,0.6695473057157932
70,70.0,22.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.2876261046531897,0.7420670829185896,0.3568993649268855,0.2460064935064934,0.6320964808919316
71,71.0,23.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.3468130933747085,0.7424305492715592,0.3798530104390419,0.3217532467532468,0.6577247232112373
72,72.0,0.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.2998862406912519,0.6675896600609297,0.2158098788922967,0.4945945945945945,0.6404380357321534
73,73.0,1.0,Cambodia,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3261633583977338,0.6729949024221036,0.2321495577351544,0.5513513513513513,0.6649884932237874
