,country,target,model,params,f1,accuracy,precision,recall,roc_auc
3,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.3560778650999133,0.6509144182612332,0.2847561078145181,0.4755026169535423,0.6292317236780287
4,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.28403340454001913,0.7221748374298346,0.2981807660752961,0.27154589111314953,0.6029420673549748
5,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.3047977858376991,0.715054219707685,0.30246738838447607,0.3075433011385097,0.6081221966822652
6,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.36760926268044136,0.6140340752404082,0.27544232928713874,0.5530982571628986,0.6320720085421583
7,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.36446219543028996,0.6154962504336687,0.274706085553244,0.5428646198672638,0.6320633393070277
8,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.34456626370564064,0.6521414338199317,0.27914927320007243,0.45064317703555823,0.6247223466598631
9,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.35001743992058904,0.6468121791963564,0.2795406402985224,0.4685210165650461,0.6290951182826527
10,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.2952076529802549,0.7201011004065366,0.3024925145942653,0.2887433227216317,0.6052501407757583
11,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.30771456139465503,0.7110931787248805,0.2998427063790582,0.3166060540657206,0.6101937905365913
12,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3625201649567849,0.6037089126702427,0.2694608700437512,0.5551578265796147,0.6298231872685754
13,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3645297824610196,0.6112528132867194,0.27287932396383874,0.5493735498839907,0.632058918138424
14,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3500180085589127,0.6607244046507077,0.2868599108515491,0.44971941941401816,0.6268118562979548
15,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.35853287824139746,0.6547363516675118,0.2880872205867281,0.4752522527383586,0.6300786515237263
16,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.279956324974984,0.7218467170167152,0.2957892278229277,0.26712189068148706,0.5994965529556809
17,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.29642316105885114,0.712601678631475,0.2946195051960815,0.29849026061619816,0.6090717599927065
18,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.36979886000948753,0.6088948787061995,0.27506380476536163,0.565169697296714,0.6312748173384087
19,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3655080741617779,0.6067709695497852,0.2719128146602222,0.5586872066044354,0.6282060743585591
20,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.35442687471965184,0.6499724453577432,0.28340877666370035,0.4734015000269789,0.6239476143676476
21,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.36192823106005845,0.6511037869285581,0.2880297410857958,0.4873285490746236,0.6299561971843934
22,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.29702287385748655,0.717695150916709,0.3005065814342219,0.2940802892138348,0.6085050307346572
23,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.3052094479034396,0.707414066878386,0.29508087330278643,0.3168483246101549,0.6077764056101537
0,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3363229307479188,0.6852471244429025,0.24175303708871687,0.5540983606557377,0.6822580507935901
1,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3343140649471036,0.6802017115458178,0.23896123289448834,0.5580327868852459,0.6795800413054034
2,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3321757302605544,0.7384447973099195,0.26268207991438214,0.45213114754098366,0.6729519431763223
3,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.33680893353194746,0.740142977235729,0.2661735940398698,0.458688524590164,0.6748059920787209
4,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.2718818180663801,0.8067815555140421,0.2970804220917088,0.25114754098360653,0.6431464897966979
5,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.2914104915711752,0.7997550105414855,0.2973867338829265,0.2862295081967213,0.6575305245081977
6,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.33780537160271995,0.6921344728812503,0.2450103856421098,0.5449180327868851,0.6836956107388479
7,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.33646375977960663,0.6907189559926342,0.2437804661592411,0.5439344262295082,0.6829261792740458
8,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.33649082526948526,0.7428786706163879,0.2675514147334487,0.4534426229508197,0.6739184694261032
9,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.33722381953788594,0.7378308558618664,0.26522076815213935,0.4632786885245902,0.6740872062371518
10,Five_countries,if_phy_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.27631560560203916,0.8038100797950415,0.29435697650781245,0.260655737704918,0.6439752715678089
